ID,Song Name (english),Song name (Japanese),Vocaloid?,Character_ID,Secondary_ID,Producer ID,Year released,Song length (minutes),song length (seonds),Main Theme ID,Secondary Theme ID,Current amount of veiws on youtube,youtube link
1,Hate it. Hate it. JIGAHIDAI!,キライ・キライ・ジガヒダイ！,1,25,1,30,2016,3,34,22,12,17000000,https://www.youtube.com/watch?v=0c9958OoTL8
2,A Crows trial,,1,11,8,61,2020,3,34,35,1,780000,https://www.youtube.com/watch?v=qIH72j7s6rA
3,Abnormality Dancin' Girl,アブノーマリティ･ダンシンガール,1,9,1,17,2021,3,29,9,36,25000000,https://www.youtube.com/watch?v=SDt2OOdWR-Y
4,Again,,1,11,1,8,2017,4,4,5,1,16000000,https://www.youtube.com/watch?v=jdQWia3fwMU
5,Akage,,0,19,1,59,2025,2,19,12,1,9500000,https://www.youtube.com/watch?v=D50L4EeBHOs
6,Alluring Secret Black Vow,秘蜜〜黒の誓い〜,1,16,17,20,2010,4,16,22,35,10000000,https://www.youtube.com/watch?v=zrdSQrxRKgw
7,Amygdala's Rag Doll,,1,24,1,15,2016,4,40,2,41,24000000,https://www.youtube.com/watch?v=P7vRNY7Vsy4
8,Binomi,ビノミ,1,12,1,35,2024,3,3,7,32,20000000,https://www.youtube.com/watch?v=fGizrX4JjPg
9,Butterfly on your right shoulder,右肩の蝶,1,16,1,45,2009,4,29,17,32,81000,https://www.youtube.com/watch?v=DgmPyanqjbA
10,Candle Queen,,1,11,1,15,2017,2,33,23,1,33000000,https://www.youtube.com/watch?v=EPMhkIiapIA
11,cantarella,カンタレラ,1,18,12,31,2008,3,2,26,22,8600000,https://www.youtube.com/watch?v=H0EtICId6mI&pp=ygUQY2FudGFyZWxsYSBrYWl0bw%3D%3D
12,Case by Case,,0,5,12,16,2025,2,8,20,41,467000,https://youtu.be/XIkuXXeBaQY
13,Cause I'm A Liar,,1,10,1,37,2017,4,43,35,42,20000000,https://www.youtube.com/watch?v=e4d_i41zmSc
14,Chronophobia ,クロノフォビア,1,17,12,2,2010,4,0,36,1,681000,https://www.youtube.com/watch?v=42aqCLyQekw&pp=ygURY2hyb25vcGhvYmlhIHNvbmc%3D
15,Coin Locker Baby,コインロッカーベイビー,1,12,11,35,2013,4,27,2,43,9600000,https://www.youtube.com/watch?v=QA5zuzc1WYA
16,Computer Insane Love Girl,電脳狂愛ガール,1,17,11,26,2013,3,20,26,22,305000,https://www.youtube.com/watch?v=BzXshcsMAyg
17,Confession Sensation,告白センセーション,1,17,1,33,2010,4,19,22,12,74000,https://www.youtube.com/watch?v=Btfj-yfMlTo
18,Confessions of a Rotten Girl,,1,12,1,55,2025,3,28,32,30,21000000,https://www.youtube.com/watch?v=sV2H712ldOI
19,Conquerer,,1,14,1,56,2019,4,4,16,1,6100000,https://www.youtube.com/watch?v=C3E5fb39xcs
20,Copycat,,1,11,1,6,2016,4,44,20,1,42000000,https://www.youtube.com/watch?v=Q_QEPrkwZ-Q
21,Corpse dance,しかばねの踊り,1,12,1,28,2013,3,42,36,44,25000000,https://www.youtube.com/watch?v=O9eHRiaTuL4
